Last login: Tue Oct  8 00:26:39 on console
lixinyandeMacBook-Pro:~ saaries$ source vtf.sh
(targetDirectory) lixinyandeMacBook-Pro:targetDirectory saaries$ cd /Users/saaries/Downloads/pydodge2
(targetDirectory) lixinyandeMacBook-Pro:pydodge2 saaries$ python train_dqn_v3.py
/Users/saaries/targetDirectory/lib/python3.6/site-packages/h5py-2.7.1-py3.6-macosx-10.6-intel.egg/h5py/__init__.py:36: FutureWarning: Conversion of the second argument of issubdtype from `float` to `np.floating` is deprecated. In future, it will be treated as `np.float64 == np.dtype(float).type`.
  from ._conv import register_converters as _register_converters
Using TensorFlow backend.
2019-10-10 14:56:58.247728: I tensorflow/core/platform/cpu_feature_guard.cc:140] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 FMA
WARNING:tensorflow:Variable *= will be deprecated. Use variable.assign_mul if you want assignment to the variable value or 'x = x * y' if you want a new python Tensor object.
11407 42 -0.8749999999999999
11428 17 -0.952
11461 20 -0.942
11496 21 -0.939
11499 15 -0.958
11509 13 -0.962
11529 15 -0.956
11578 11 -0.968
11591 19 -0.945
11598 38 -0.8889999999999999
11599 17 -0.952
11632 12 -0.967
11664 41 -0.8789999999999999
11689 12 -0.967
11698 18 -0.948
11707 15 -0.957
11737 15 -0.956
11771 39 -0.8859999999999999
11783 34 -0.8999999999999999
11846 13 -0.963
11865 9 -0.974
11881 34 -0.8989999999999999
11882 24 -0.9289999999999999
11885 14 -0.961
11888 15 -0.956
11936 40 -0.8829999999999999
11954 20 -0.943
11956 11 -0.968
12032 29 -0.9149999999999999
12042 20 -0.943
12054 20 -0.943
12059 11 -0.968
12070 39 -0.8849999999999999
12071 28 -0.9169999999999999
12075 14 -0.959
12114 34 -0.8999999999999999
12134 35 -0.8979999999999999
12148 15 -0.957
12177 15 -0.958
12179 18 -0.949
12212 14 -0.96
12231 17 -0.951
12259 22 -0.9369999999999999
12264 25 -0.9269999999999999
12266 9 -0.974
12271 16 -0.953
12300 17 -0.952
12337 16 -0.954
12339 13 -0.962
12388 13 -0.964
12393 15 -0.958
12420 17 -0.952
12424 14 -0.961
12440 25 -0.9259999999999999
12450 11 -0.969
12480 13 -0.963
12484 11 -0.968
12544 16 -0.953
12560 10 -0.971
12563 17 -0.95
12587 39 -0.8839999999999999
12593 12 -0.965
12612 28 -0.9169999999999999
12633 12 -0.965
12681 11 -0.968
12682 11 -0.97
12725 21 -0.938
12729 16 -0.955
12757 20 -0.941
12803 42 -0.8769999999999999
12828 14 -0.961
12833 17 -0.95
12855 17 -0.952
12889 39 -0.8849999999999999
12926 47 -0.8599999999999999
12928 14 -0.961
12959 12 -0.966
13000 15 -0.958
13005 32 -0.9069999999999999
13005 49 -0.855
13027 29 -0.9139999999999999
13038 13 -0.962
13043 12 -0.967
13070 32 -0.9069999999999999
13073 12 -0.967
13075 12 -0.965
13096 30 -0.9129999999999999
13106 16 -0.955
13184 13 -0.964
13187 12 -0.966
13189 50 -0.851
13219 13 -0.963
13247 52 -0.8459999999999999
13285 22 -0.9369999999999999
13288 16 -0.953
13301 27 -0.9209999999999999
13323 22 -0.9369999999999999
13373 17 -0.951
13394 13 -0.962
13397 13 -0.962
13416 21 -0.939
13422 11 -0.969
13433 10 -0.971
13434 16 -0.955
13455 17 -0.952
13484 15 -0.956
13518 9 -0.974
13522 17 -0.951
13528 38 -0.8879999999999999
13533 11 -0.969
13538 27 -0.9209999999999999
13577 12 -0.965
13590 38 -0.8869999999999999
13601 37 -0.8909999999999999
13604 9 -0.975
13633 13 -0.963
13640 14 -0.96
13648 14 -0.959
13662 15 -0.957
13674 9 -0.976
13685 21 -0.939
13693 34 -0.8999999999999999
13694 27 -0.9209999999999999
13760 16 -0.953
13812 16 -0.953
13846 18 -0.949
13848 12 -0.965
13855 11 -0.969
13866 15 -0.958
13876 12 -0.967
13901 17 -0.952
13902 25 -0.9279999999999999
13922 17 -0.951
13956 32 -0.9059999999999999
13960 30 -0.9119999999999999
13988 30 -0.9109999999999999
14023 27 -0.9209999999999999
14060 28 -0.9169999999999999
14069 13 -0.964
14137 17 -0.952
14161 25 -0.9269999999999999
14174 34 -0.9009999999999999
14175 16 -0.954
14197 21 -0.94
14253 30 -0.9109999999999999
14254 14 -0.96
14257 46 -0.863
14263 24 -0.9309999999999999
14266 20 -0.943
14274 13 -0.962
14326 20 -0.941
14366 29 -0.9139999999999999
14384 8 -0.977
14392 13 -0.963
14400 40 -0.8829999999999999
14415 17 -0.951
14415 9 -0.975
14455 15 -0.957
14466 14 -0.959
14471 15 -0.958
14484 15 -0.957
14521 12 -0.965
14532 27 -0.9219999999999999
14547 11 -0.969
14611 46 -0.863
14612 40 -0.8809999999999999
14617 11 -0.968
14646 15 -0.957
14653 33 -0.9019999999999999
14700 13 -0.962
14709 17 -0.95
14735 18 -0.948
14754 21 -0.938
14758 22 -0.9369999999999999
14759 28 -0.9189999999999999
14776 19 -0.945
14787 14 -0.961
14841 13 -0.964
14869 14 -0.96
14881 10 -0.971
14885 10 -0.973
